WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
84,85,83,86,89,-57,-57,-58,-58,-61,41.77613095
82,44,45,47,43,-57,-80,-80,-80,-81,39.44861979
82,79,77,83,84,-52,-60,-60,-60,-60,47.17827414
82,83,84,85,86,-49,-51,-51,-51,-51,48.16018904
83,84,85,86,82,-52,-52,-55,-55,-56,45.97116379
82,77,78,79,80,-39,-51,-51,-52,-52,37.77245103
82,77,78,79,80,-39,-51,-51,-52,-52,42.97576789
82,85,86,83,84,-56,-60,-60,-61,-61,39.88971001
82,85,86,83,84,-56,-60,-60,-61,-61,36.53621351
77,78,76,80,79,-48,-48,-49,-50,-51,36.79844244
82,83,84,85,86,-50,-50,-50,-50,-50,37.47810884
82,83,84,85,86,-50,-50,-50,-50,-50,39.45448327
82,83,81,84,85,-57,-61,-61,-62,-62,39.97888389
83,84,85,82,86,-58,-58,-58,-59,-59,36.56324285
83,84,85,82,86,-58,-58,-58,-59,-59,36.74003871
85,86,83,84,82,-47,-47,-48,-48,-50,38.69093596
83,84,85,86,82,-54,-54,-54,-54,-56,50.69743805
86,82,83,84,85,-59,-60,-60,-60,-60,41.44400107
86,82,83,84,85,-59,-60,-60,-60,-60,39.7116253
82,86,85,83,84,-49,-52,-53,-55,-55,56.33121307
82,83,84,85,86,-48,-50,-50,-50,-50,51.23888265
82,83,84,85,86,-48,-50,-50,-50,-50,48.75349296
83,85,86,82,84,-46,-46,-46,-47,-47,29.73469111
83,85,86,82,84,-46,-46,-46,-47,-47,41.00108969
83,84,85,86,82,-54,-54,-54,-54,-55,36.72538836
82,83,84,80,85,-55,-58,-58,-59,-59,37.91494065
82,83,84,80,85,-55,-58,-58,-59,-59,38.43642338
83,84,85,86,82,-48,-48,-48,-48,-52,35.25769392
83,84,85,86,82,-53,-53,-53,-53,-54,36.8890896
83,84,85,86,82,-53,-53,-53,-53,-54,35.84998345
83,84,85,86,82,-53,-53,-53,-53,-56,39.34330787
83,86,84,82,79,-50,-50,-51,-59,-65,40.89902922
83,86,84,82,79,-50,-50,-51,-59,-65,36.20910274
82,83,84,85,86,-52,-56,-56,-56,-56,38.46665402
82,83,84,85,86,-52,-56,-56,-56,-56,39.82954404
82,83,85,84,86,-52,-54,-54,-55,-55,36.58943653
78,83,84,85,86,-51,-51,-51,-51,-51,33.06643186
78,83,84,85,86,-51,-51,-51,-51,-51,32.8854509
84,85,86,82,83,-55,-55,-55,-56,-56,34.47254626
84,85,86,82,83,-55,-55,-55,-56,-56,36.48428634
82,85,83,84,86,-54,-56,-57,-57,-57,36.55047545
83,84,85,82,86,-50,-50,-50,-51,-51,36.4242227
83,84,85,82,86,-50,-50,-50,-51,-51,36.4605349
82,83,84,86,85,-53,-53,-53,-53,-54,35.18848349
83,84,85,86,82,-47,-47,-47,-47,-58,39.45200803
83,84,86,85,81,-39,-39,-39,-40,-40,43.93564824
83,84,86,85,81,-39,-39,-39,-40,-40,44.44844824
82,83,84,85,86,-51,-52,-52,-52,-52,41.23351203
85,86,82,46,47,-44,-44,-45,-79,-79,35.15461281
85,86,82,46,47,-44,-44,-45,-79,-79,37.76925148
83,84,85,86,82,-55,-55,-55,-55,-59,38.55448724
83,84,85,86,82,-55,-55,-55,-55,-59,36.31103261
82,83,84,85,86,-57,-59,-60,-60,-60,36.7532999
82,83,84,85,86,-57,-59,-60,-60,-60,36.76074062
82,97,94,95,96,-56,-69,-69,-69,-69,36.80367506
82,83,84,85,86,-56,-56,-56,-56,-57,36.76318455
82,83,84,85,86,-56,-56,-56,-56,-57,37.22006354
82,85,83,84,86,-55,-58,-59,-59,-59,43.2947435
82,83,84,85,86,-63,-64,-64,-64,-64,43.16307196
82,83,84,85,86,-63,-64,-64,-64,-64,43.32512865
82,83,84,85,86,-61,-61,-61,-61,-61,42.28955827
82,83,84,85,86,-61,-61,-61,-61,-61,39.02443771
82,83,84,85,86,-56,-58,-58,-58,-58,47.14448319
82,83,84,85,86,-54,-58,-58,-58,-58,36.60290569
