WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
46,47,45,48,51,-57,-57,-58,-58,-61,41.77613095
44,9,10,12,8,-57,-80,-80,-80,-81,39.44861979
44,41,39,45,46,-52,-60,-60,-60,-60,47.17827414
44,45,46,47,48,-49,-51,-51,-51,-51,48.16018904
45,46,47,48,44,-52,-52,-55,-55,-56,45.97116379
44,39,40,41,42,-39,-51,-51,-52,-52,37.77245103
44,39,40,41,42,-39,-51,-51,-52,-52,42.97576789
44,47,48,45,46,-56,-60,-60,-61,-61,39.88971001
44,47,48,45,46,-56,-60,-60,-61,-61,36.53621351
39,40,38,42,41,-48,-48,-49,-50,-51,36.79844244
44,45,46,47,48,-50,-50,-50,-50,-50,37.47810884
44,45,46,47,48,-50,-50,-50,-50,-50,39.45448327
44,45,43,46,47,-57,-61,-61,-62,-62,39.97888389
45,46,47,44,48,-58,-58,-58,-59,-59,36.56324285
45,46,47,44,48,-58,-58,-58,-59,-59,36.74003871
47,48,45,46,44,-47,-47,-48,-48,-50,38.69093596
45,46,47,48,44,-54,-54,-54,-54,-56,50.69743805
48,44,45,46,47,-59,-60,-60,-60,-60,41.44400107
48,44,45,46,47,-59,-60,-60,-60,-60,39.7116253
44,48,47,45,46,-49,-52,-53,-55,-55,56.33121307
44,45,46,47,48,-48,-50,-50,-50,-50,51.23888265
44,45,46,47,48,-48,-50,-50,-50,-50,48.75349296
45,47,48,44,46,-46,-46,-46,-47,-47,29.73469111
45,47,48,44,46,-46,-46,-46,-47,-47,41.00108969
45,46,47,48,44,-54,-54,-54,-54,-55,36.72538836
44,45,46,42,47,-55,-58,-58,-59,-59,37.91494065
44,45,46,42,47,-55,-58,-58,-59,-59,38.43642338
45,46,47,48,44,-48,-48,-48,-48,-52,35.25769392
45,46,47,48,44,-53,-53,-53,-53,-54,36.8890896
45,46,47,48,44,-53,-53,-53,-53,-54,35.84998345
45,46,47,48,44,-53,-53,-53,-53,-56,39.34330787
45,48,46,44,41,-50,-50,-51,-59,-65,40.89902922
45,48,46,44,41,-50,-50,-51,-59,-65,36.20910274
44,45,46,47,48,-52,-56,-56,-56,-56,38.46665402
44,45,46,47,48,-52,-56,-56,-56,-56,39.82954404
44,45,47,46,48,-52,-54,-54,-55,-55,36.58943653
40,45,46,47,48,-51,-51,-51,-51,-51,33.06643186
40,45,46,47,48,-51,-51,-51,-51,-51,32.8854509
46,47,48,44,45,-55,-55,-55,-56,-56,34.47254626
46,47,48,44,45,-55,-55,-55,-56,-56,36.48428634
44,47,45,46,48,-54,-56,-57,-57,-57,36.55047545
45,46,47,44,48,-50,-50,-50,-51,-51,36.4242227
45,46,47,44,48,-50,-50,-50,-51,-51,36.4605349
44,45,46,48,47,-53,-53,-53,-53,-54,35.18848349
45,46,47,48,44,-47,-47,-47,-47,-58,39.45200803
45,46,48,47,43,-39,-39,-39,-40,-40,43.93564824
45,46,48,47,43,-39,-39,-39,-40,-40,44.44844824
44,45,46,47,48,-51,-52,-52,-52,-52,41.23351203
47,48,44,11,12,-44,-44,-45,-79,-79,35.15461281
47,48,44,11,12,-44,-44,-45,-79,-79,37.76925148
45,46,47,48,44,-55,-55,-55,-55,-59,38.55448724
45,46,47,48,44,-55,-55,-55,-55,-59,36.31103261
44,45,46,47,48,-57,-59,-60,-60,-60,36.7532999
44,45,46,47,48,-57,-59,-60,-60,-60,36.76074062
44,58,55,56,57,-56,-69,-69,-69,-69,36.80367506
44,45,46,47,48,-56,-56,-56,-56,-57,36.76318455
44,45,46,47,48,-56,-56,-56,-56,-57,37.22006354
44,47,45,46,48,-55,-58,-59,-59,-59,43.2947435
44,45,46,47,48,-63,-64,-64,-64,-64,43.16307196
44,45,46,47,48,-63,-64,-64,-64,-64,43.32512865
44,45,46,47,48,-61,-61,-61,-61,-61,42.28955827
44,45,46,47,48,-61,-61,-61,-61,-61,39.02443771
44,45,46,47,48,-56,-58,-58,-58,-58,47.14448319
44,45,46,47,48,-54,-58,-58,-58,-58,36.60290569
44,45,46,47,48,-54,-58,-58,-58,-58,43.00224831
44,54,55,57,13,-56,-77,-77,-78,-83,39.35806928
44,54,55,57,13,-56,-77,-77,-78,-83,35.75838175
