WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION
f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,f4:2e:7f:79:a4:64,-57,-57,-58,-58,-61,41.77613095,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e6,f4:2e:7f:79:98:e2,-57,-80,-80,-80,-81,39.44861979,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-52,-60,-60,-60,-60,47.17827414,indoor
,,,,,,,,,,,
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-49,-51,-51,-51,-51,48.16018904,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-52,-52,-55,-55,-56,45.97116379,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:26,-39,-51,-51,-52,-52,37.77245103,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:26,-39,-51,-51,-52,-52,42.97576789,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-56,-60,-60,-61,-61,39.88971001,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-56,-60,-60,-61,-61,36.53621351,indoor
f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,-48,-48,-49,-50,-51,36.79844244,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-50,-50,-50,-50,37.47810884,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-50,-50,-50,-50,39.45448327,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:30,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-57,-61,-61,-62,-62,39.97888389,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-58,-58,-58,-59,-59,36.56324285,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-58,-58,-58,-59,-59,36.74003871,indoor
f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-47,-47,-48,-48,-50,38.69093596,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-54,-54,-54,-54,-56,50.69743805,indoor
f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-59,-60,-60,-60,-60,41.44400107,indoor
f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-59,-60,-60,-60,-60,39.7116253,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-49,-52,-53,-55,-55,56.33121307,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-48,-50,-50,-50,-50,51.23888265,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-48,-50,-50,-50,-50,48.75349296,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,-46,-46,-46,-47,-47,29.73469111,indoor
