WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
62,63,64,61,59,-57,-57,-57,-58,-58,41.09757141
70,74,71,72,73,-60,-60,-61,-61,-61,42.33147885
70,74,71,72,73,-60,-60,-61,-61,-61,42.38835433
60,70,71,72,61,-61,-62,-62,-62,-63,40.82459831
70,71,72,73,74,-52,-52,-52,-52,-52,38.52592725
70,71,72,73,74,-52,-52,-52,-52,-52,34.92275936
74,75,72,61,62,-59,-59,-60,-61,-61,35.94977881
61,62,63,64,60,-57,-57,-57,-58,-59,30.3510125
61,62,63,64,60,-57,-57,-57,-58,-59,39.50100591
70,71,72,73,74,-50,-50,-50,-50,-50,38.20043766
70,71,72,73,74,-55,-55,-55,-55,-55,38.01266911
70,71,72,73,74,-55,-55,-55,-55,-55,38.10805848
70,71,72,73,74,-55,-55,-55,-55,-55,38.05182206
70,71,72,73,74,-55,-55,-55,-55,-55,43.37269362
72,73,74,70,71,-51,-51,-51,-52,-52,44.19814145
61,63,64,62,74,-56,-56,-56,-57,-58,95.29263113
61,63,64,62,74,-56,-56,-56,-57,-58,121.0986612
70,71,72,73,74,-54,-54,-54,-55,-55,120.720283
70,71,72,73,74,-57,-57,-57,-57,-57,77.21069363
70,71,72,73,74,-57,-57,-57,-57,-57,78.17152052
70,71,72,73,74,-55,-55,-55,-55,-55,47.02742925
70,71,72,73,74,-57,-57,-57,-57,-57,59.5751663
70,71,72,73,74,-57,-57,-57,-57,-57,58.33258045
70,71,72,73,74,-59,-59,-59,-59,-59,58.43280396
70,71,72,73,74,-59,-59,-59,-59,-59,58.4283666
70,71,73,74,75,-57,-57,-57,-57,-57,58.32717904
60,65,64,61,62,-61,-61,-62,-63,-63,58.36695065
60,65,64,61,62,-61,-61,-62,-63,-63,58.36758644
70,71,74,75,61,-60,-60,-60,-60,-61,58.41030659
73,74,75,70,71,-59,-59,-59,-60,-60,54.17349516
73,74,75,70,71,-59,-59,-59,-60,-60,52.92199494
61,62,63,64,60,-56,-57,-57,-57,-58,54.73493255
61,62,63,64,60,-56,-57,-57,-57,-58,32.55409223
61,62,63,64,59,-53,-53,-53,-53,-53,56.30639317
62,63,61,64,72,-54,-54,-55,-55,-55,47.91546562
61,60,62,63,64,-59,-60,-60,-60,-60,58.74802814
61,60,62,63,64,-59,-60,-60,-60,-60,55.73477581
74,70,71,72,73,-55,-56,-56,-56,-56,49.64948428
74,70,71,72,73,-55,-56,-56,-56,-56,57.26407953
60,61,63,64,62,-53,-55,-55,-55,-56,59.75743204
60,55,54,58,57,-56,-57,-59,-59,-60,60.06739379
60,55,54,58,57,-56,-57,-59,-59,-60,60.33393806
62,61,63,64,71,-50,-51,-51,-51,-57,61.29256134
60,63,61,62,64,-53,-53,-55,-55,-55,33.42855641
60,71,72,73,74,-55,-59,-59,-59,-59,65.3928371
60,71,72,73,74,-55,-59,-59,-59,-59,53.6515086
64,63,61,62,60,-53,-54,-55,-55,-56,31.37913261
70,72,73,74,71,-58,-59,-59,-59,-60,36.29661268
70,72,73,74,71,-58,-59,-59,-59,-60,49.29716719
70,71,72,73,74,-52,-52,-52,-52,-52,49.22885809
69,70,71,72,73,-60,-60,-60,-60,-60,49.01866573
69,70,71,72,73,-60,-60,-60,-60,-60,48.75072365
75,72,73,74,71,-53,-54,-54,-54,-55,37.38552514
71,72,73,75,70,-48,-48,-48,-48,-49,20.31929273
71,72,73,75,70,-48,-48,-48,-48,-49,32.08740314
60,63,64,61,62,-43,-46,-46,-47,-47,34.01890667
70,71,72,73,74,-55,-55,-55,-55,-55,39.03404432
72,73,74,75,61,-55,-55,-55,-55,-56,36.04387788
72,73,74,75,61,-55,-55,-55,-55,-56,40.95354528
60,61,62,63,64,-65,-65,-65,-65,-65,38.76823538
71,60,72,73,74,-55,-56,-56,-56,-56,39.29669328
71,60,72,73,74,-55,-56,-56,-56,-56,38.14829591
70,71,72,73,74,-59,-59,-59,-59,-59,37.17961773
61,62,63,64,70,-58,-59,-59,-59,-59,32.38576114
61,62,64,70,71,-55,-55,-55,-55,-55,27.39270395
61,62,64,70,71,-55,-55,-55,-55,-55,35.66030323
63,64,55,56,57,-54,-54,-55,-55,-55,27.01773054
63,64,55,56,57,-54,-54,-55,-55,-55,32.5875436
55,56,57,58,60,-57,-57,-57,-57,-63,33.02769834
61,62,63,64,58,-54,-54,-54,-54,-58,26.86377854
61,62,63,64,58,-54,-54,-54,-54,-58,25.08912945
54,55,56,61,62,-59,-59,-59,-59,-59,25.67869042
60,61,63,62,64,-54,-57,-57,-58,-58,25.62105057
60,61,63,62,64,-54,-57,-57,-58,-58,20.81406449
70,71,72,73,74,-62,-63,-63,-63,-63,40.94541759
60,70,71,72,73,-60,-61,-61,-62,-62,35.1533471
60,70,71,72,73,-60,-61,-61,-62,-62,26.28573182
60,64,62,63,61,-59,-60,-61,-61,-62,22.85695583
73,70,71,72,74,-59,-60,-60,-60,-60,27.5049778
69,66,67,68,65,-54,-55,-55,-55,-55,26.81473075
69,66,67,68,65,-54,-55,-55,-55,-55,26.22681035
72,73,74,70,71,-55,-55,-55,-56,-56,36.78441104
72,73,74,70,71,-55,-55,-55,-56,-56,39.33306298
57,70,54,55,56,-61,-61,-62,-62,-62,42.29562244
54,55,56,57,58,-64,-64,-64,-64,-64,42.24436561
61,62,63,64,67,-61,-62,-62,-62,-65,42.10290564
61,62,63,64,67,-61,-62,-62,-62,-65,41.32917207
62,63,61,64,59,-54,-54,-55,-55,-57,35.7204143
62,63,61,64,59,-54,-54,-55,-55,-57,34.2463573
60,61,62,63,64,-62,-62,-62,-62,-62,34.34955024
60,70,71,72,73,-56,-57,-59,-59,-59,32.42589207
60,75,70,71,72,-55,-58,-59,-59,-59,35.46020512
60,75,70,71,72,-55,-58,-59,-59,-59,38.45274882
70,71,72,73,74,-45,-45,-45,-45,-45,38.18873387
61,62,63,64,74,-57,-57,-57,-57,-61,38.56575718
61,62,63,64,74,-57,-57,-57,-57,-61,43.24328208
70,71,72,73,74,-57,-57,-59,-59,-59,38.43550713
70,71,72,73,74,-55,-56,-56,-56,-56,29.03358777
70,71,72,73,74,-55,-56,-56,-56,-56,27.89846157
70,71,72,73,74,-50,-50,-50,-50,-50,26.02636556
70,71,72,73,74,-50,-50,-50,-50,-50,24.69603294
70,71,72,73,74,-48,-48,-48,-48,-48,32.47376871
72,73,70,71,74,-53,-53,-54,-54,-54,53.0884617
72,73,70,71,74,-53,-53,-54,-54,-54,36.16912449
70,71,72,73,74,-52,-52,-52,-52,-53,26.91020019
60,66,67,68,65,-48,-60,-60,-60,-60,51.3236894
60,66,67,68,65,-48,-60,-60,-60,-60,62.83028938
61,62,63,64,60,-53,-54,-54,-54,-55,44.59746174
61,62,63,64,70,-49,-49,-49,-49,-49,22.02990216
61,62,63,64,70,-49,-49,-49,-49,-49,35.83014025
63,61,62,64,60,-50,-51,-51,-51,-56,64.42103178
70,71,72,73,74,-55,-56,-56,-57,-57,36.91911258
70,71,72,73,74,-55,-56,-56,-57,-57,24.06086642
60,69,67,68,54,-58,-60,-60,-60,-61,49.08645166
61,62,63,64,60,-48,-48,-48,-49,-50,41.98999631
61,62,63,64,60,-48,-48,-48,-49,-50,28.18130648
63,61,62,64,60,-43,-44,-44,-44,-50,30.28973553
60,61,62,63,64,-57,-59,-59,-59,-59,54.91155219
60,61,62,63,64,-57,-59,-59,-59,-59,56.87864429
60,62,61,64,63,-56,-56,-57,-57,-58,35.75658607
60,62,61,64,63,-56,-56,-57,-57,-58,32.95704769
61,62,63,64,55,-51,-51,-51,-51,-53,51.58957622
60,70,71,72,73,-47,-53,-53,-53,-53,42.18092252
60,70,71,72,73,-47,-53,-53,-53,-53,35.30939906
71,72,73,74,75,-57,-57,-57,-57,-57,28.16399965
74,75,71,72,73,-54,-54,-55,-55,-55,33.53395842
60,61,62,63,64,-54,-56,-56,-56,-56,34.69242469
60,61,62,63,64,-54,-56,-56,-56,-56,42.46596466
60,64,74,71,72,-48,-55,-55,-56,-56,46.99949613
70,71,72,73,74,-55,-55,-56,-56,-56,54.21735634
70,71,72,73,74,-55,-55,-56,-56,-56,39.31898608
60,70,71,72,73,-52,-52,-53,-53,-53,34.01471526
60,70,71,72,73,-52,-52,-53,-53,-53,32.45223353
60,61,62,63,64,-55,-55,-55,-55,-55,35.94954112
60,61,62,63,64,-55,-55,-55,-55,-55,30.5740029
60,63,61,62,64,-53,-57,-58,-58,-58,34.06319165
60,63,61,62,64,-53,-57,-58,-58,-58,39.82027648
70,71,72,73,74,-49,-49,-49,-49,-49,51.11015601
70,71,72,73,74,-49,-49,-49,-49,-49,39.25196707
71,72,73,74,75,-54,-54,-54,-54,-54,39.15696546
75,70,71,72,73,-44,-45,-45,-45,-45,37.01529852
75,70,71,72,73,-44,-45,-45,-45,-45,41.1015677
60,62,63,64,61,-55,-58,-58,-58,-59,35.66717966
60,62,63,64,61,-55,-58,-58,-58,-59,33.03026141
63,64,61,62,60,-56,-56,-57,-57,-60,39.54886434
63,64,61,62,60,-56,-56,-57,-57,-60,39.24685404
61,62,63,64,70,-60,-60,-60,-60,-64,38.2497032
61,62,63,64,60,-59,-59,-59,-59,-61,38.02206583
61,62,63,64,60,-59,-59,-59,-59,-61,38.01317167
60,70,71,72,73,-54,-58,-58,-59,-59,31.92633542
70,74,75,71,72,-53,-53,-53,-54,-54,33.09740891
70,74,75,71,72,-53,-53,-53,-54,-54,46.08859876
70,74,75,71,72,-53,-53,-53,-54,-54,58.69663051
70,74,75,71,72,-53,-53,-53,-54,-54,48.4875145
70,74,75,71,72,-53,-53,-53,-54,-54,39.09929049
72,73,74,75,70,-51,-51,-51,-51,-52,42.48481461
72,73,74,75,70,-51,-51,-51,-51,-52,38.07195657
71,75,72,74,70,-44,-44,-45,-45,-46,30.38286674
71,72,73,74,75,-56,-56,-56,-56,-56,32.29567872
71,72,73,74,75,-56,-56,-56,-56,-56,53.31031328
70,71,72,73,74,-50,-50,-51,-51,-51,54.46071055
70,71,72,73,74,-50,-50,-51,-51,-51,49.31158408
71,72,73,74,75,-54,-54,-54,-54,-54,33.0899505
60,70,71,72,73,-52,-52,-52,-52,-52,31.30414548
60,61,62,63,64,-48,-50,-50,-51,-53,50.75787202
60,63,61,62,64,-47,-49,-50,-50,-50,44.24936137
60,63,61,62,64,-47,-49,-50,-50,-50,39.78780539
61,62,63,64,60,-43,-43,-43,-44,-55,35.07384961
71,72,73,74,75,-54,-54,-54,-54,-54,37.73356139
70,71,72,73,74,-55,-55,-55,-55,-55,38.28090561
60,70,71,74,72,-54,-56,-57,-57,-58,37.83360078
60,70,71,74,72,-54,-56,-57,-57,-58,38.8644228
60,63,61,62,64,-38,-50,-51,-51,-51,55.68698267
60,63,61,62,64,-38,-50,-51,-51,-51,57.34418001
61,62,63,64,60,-38,-38,-38,-38,-43,53.55315062
61,62,63,64,60,-38,-38,-38,-38,-43,50.50975985
70,74,75,71,72,-55,-55,-55,-56,-56,48.94231647
70,71,72,73,74,-48,-48,-48,-48,-48,39.78583413
70,71,72,73,74,-48,-48,-48,-48,-48,35.96140849
70,71,72,73,74,-48,-48,-48,-48,-48,32.26085581
71,74,70,72,73,-57,-57,-58,-58,-58,33.73559082
70,71,72,73,74,-51,-51,-51,-51,-52,38.33842191
60,67,63,64,61,-54,-58,-59,-59,-60,38.04991646
72,73,74,75,60,-52,-52,-52,-52,-56,39.5682124
72,73,74,75,60,-52,-52,-52,-52,-56,38.04448144
70,71,72,73,74,-51,-51,-51,-51,-51,39.8196649
73,70,71,72,74,-47,-48,-48,-48,-48,39.64300224
74,75,70,71,72,-54,-54,-55,-55,-55,37.77427529
74,75,70,71,72,-54,-54,-55,-55,-55,42.68196626
60,71,72,73,74,-52,-55,-55,-55,-55,48.36411275
61,62,63,64,70,-50,-50,-50,-50,-50,56.7979926
61,62,63,64,60,-45,-45,-45,-45,-49,48.46878022
60,61,62,64,63,-38,-41,-41,-41,-42,39.4664334
60,61,62,64,63,-38,-41,-41,-41,-42,37.16005585
60,61,62,63,64,-50,-52,-52,-52,-52,33.13388368
60,61,62,63,64,-50,-52,-52,-52,-52,39.57529044
71,72,73,74,75,-57,-57,-57,-57,-57,41.77596732
70,72,73,74,71,-56,-56,-56,-56,-57,37.72573659
61,62,63,64,60,-44,-44,-45,-45,-52,27.19059003
61,62,63,64,60,-44,-44,-45,-45,-52,38.1427565
61,62,63,64,59,-43,-43,-43,-43,-43,35.25076704
61,62,63,64,60,-61,-61,-61,-61,-66,37.89046231
61,62,63,64,60,-61,-61,-61,-61,-66,36.54180771
61,62,63,64,60,-50,-51,-51,-51,-54,37.01842308
61,62,63,64,60,-50,-51,-51,-51,-54,39.75035009
61,62,64,59,60,-55,-55,-55,-55,-56,36.38309853
61,62,63,64,60,-53,-53,-53,-53,-56,35.04512298
60,61,62,63,64,-59,-59,-59,-59,-59,37.0249187
60,61,62,63,64,-59,-59,-59,-59,-59,39.39718497
73,74,75,71,72,-55,-55,-55,-56,-56,37.52611395
70,71,72,73,74,-52,-52,-52,-52,-52,40.18052069
70,71,72,73,74,-52,-52,-52,-52,-52,39.66883635
62,64,60,61,63,-54,-54,-55,-55,-55,56.46846249
60,62,63,64,70,-51,-53,-53,-54,-60,55.69107952
60,62,63,64,70,-51,-53,-53,-54,-60,65.22973599
60,62,63,64,71,-50,-51,-51,-51,-60,51.38754646
60,61,62,63,64,-43,-49,-49,-50,-50,49.02821752
60,61,62,63,64,-43,-49,-49,-50,-50,37.87436346
60,61,63,64,62,-45,-47,-47,-47,-48,32.78992341
61,62,63,64,70,-56,-57,-57,-57,-60,37.80712126
61,62,63,64,70,-56,-57,-57,-57,-60,47.7334288
60,63,64,61,62,-62,-64,-64,-65,-65,49.91490806
56,55,57,54,58,-55,-56,-56,-56,-57,51.49203993
56,55,57,54,58,-55,-56,-56,-56,-57,29.29708854
74,75,71,72,73,-54,-54,-55,-55,-55,27.24438979
